% Model,RI.mph
% Version,COMSOL 5.3.1.180
% Date,"Feb 14 2018, 13:46"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp12","Temperature (degC), Tp13","Temperature (degC), Tp14","Temperature (degC), Tp21","Temperature (degC), Tp22","Temperature (degC), Tp23","Temperature (degC), Tp24","Temperature (degC), Tp31","Temperature (degC), Tp32","Temperature (degC), Tp33","Temperature (degC), Tp34","Temperature (degC), Tp4"
20,1.10876899950571E8,994.6613372878568,713.9242485321967,1376.0401116794042,754.6268709109517,1171.9454453673388,1164.993980460703,1158.2341132317629,1145.8651913860213,1021.5434340583182,1014.5829144273445,1007.8142465048621,995.4292295394727,868.8045139321699,861.8424321867307,855.0722476379809,842.6844576684085,821.7851783410273
21,1.0617575436493614E8,1001.304082121016,718.1288141893226,1388.1165445898132,763.4103700113509,1180.4873914926147,1173.8243595027752,1167.3449498387363,1155.489151696011,1026.8138711879997,1020.145557282567,1013.6610148309825,1001.7958310940522,873.5911394464332,866.9233019293441,860.4392247317259,848.5748941012031,827.8623804387618
22,1.0208636781114954E8,1006.2979750456769,722.232242357688,1396.047308963537,772.207832609353,1186.0895745850657,1179.678161691037,1173.443413474627,1162.0352462779401,1030.6408891322671,1024.2270968991193,1017.9900377374,1006.5776475701424,877.7672795985444,871.3554905148475,865.120380905147,853.7115606605893,833.2368965470761
23,9.847525531138425E7,1010.1654167204641,726.1766039668347,1401.2042139273822,780.9044119292324,1189.7195710365518,1183.5308995754272,1177.512732048342,1166.5008164669011,1033.5022251468963,1027.3134397758254,1021.2951636922525,1010.2830535409558,881.5009684520404,875.3153364187366,869.3001280117381,858.2936338017336,838.0824493986321
24,9.533319167557564E7,1012.8806025062958,729.9654822772253,1403.5270169053374,789.5035536845213,1191.3350558513657,1185.3407899514182,1179.511654282186,1168.8455935084435,1035.3703482222631,1029.3775952503233,1023.5499325563213,1012.8865703981345,884.778041498903,878.7892149179578,872.9653713596493,862.3089994518233,842.388665333055
25,9.255765869359152E7,1014.9030794666456,733.552628177657,1404.2426187923265,797.8653107690283,1191.8022382160993,1185.9801531567036,1180.318432939363,1169.9586665371826,1036.6631418663742,1030.8437816622104,1025.1847125539448,1014.8297994055619,887.740302964353,881.9253830438612,876.270632520219,865.9236217473764,846.2991664531563
26,9.013131744369297E7,1016.3879340270499,736.9296871327505,1403.7657207372067,805.982179889396,1191.416271152999,1185.745057421529,1180.2300334883012,1170.1386557728592,1037.5255096129863,1031.8578867657284,1026.3463557693694,1016.2613714118978,890.4359171827845,884.7730242072086,879.26609317078,869.1895240999141,849.8574422952848
27,8.799784986798476E7,1017.5011865945954,740.0891279920827,1402.5366973410469,813.8227891036441,1190.4931196079933,1184.954838983425,1179.5690699751817,1169.7141719214455,1038.1060339100527,1032.5719469487344,1027.1902567632933,1017.3428234334455,892.9097661223999,887.3805392888665,882.0035755524563,872.1647904746702,853.1144927477823
28,8.614352840294127E7,1018.2666388660051,743.0308024637392,1400.6177546180975,821.3855205633182,1189.0785675397105,1183.6561128899561,1178.3829655742961,1168.7341166925708,1038.4246763490678,1033.006769588556,1027.7380453314777,1018.0972904074143,895.1672139657045,889.7541513789325,884.4901379289007,874.8580035255492,856.0782540859162
29,8.451191960282196E7,1018.8143093621405,745.7551509379637,1398.3428136714556,828.6021142986832,1187.4209786522429,1182.1006462809655,1176.9267957955058,1167.459616814564,1038.5928404099272,1033.2772401916213,1028.1079917653137,1018.6492339022235,897.2426707641445,891.9318088411388,886.7671681580586,877.3168404146162,858.7921897175098
30,8.307671050704814E7,1019.2019328602545,748.265754963417,1395.8523125061447,835.8548701800718,1185.629205685957,1180.3988794163083,1175.312544297718,1166.0054793488894,1038.6590277433352,1033.433485621932,1028.3518029758116,1019.0532511750279,899.1528972788095,893.9319212382021,888.8546787804102,879.5642478346568,861.2777057862553
31,8.179523118642974E7,1019.5046279238644,750.5749495237465,1393.3119748321296,843.4828430233671,1183.841812307241,1178.691956797385,1173.683865570942,1164.519952004594,1038.6834541826738,1033.5383582980944,1028.5348955715313,1019.3794511539653,900.9217745188445,895.7810381112339,890.7818145932591,881.6341228232878,863.5676670771894
32,8.068116495560764E7,1019.6978492355685,752.6789827559677,1390.6670260506767,850.8631212021527,1182.0134094347013,1176.9336618776433,1171.9937383413862,1162.9545409187754,1038.6463448894706,1033.5712379402466,1028.635827068464,1019.6048868097301,902.5415853154174,897.4705864195963,892.5391702092353,883.5155359553811,865.651514882344
33,7.972903629457203E7,1019.7893582963508,754.5802468958549,1387.93337916055,857.9883042314799,1180.1576716621084,1175.1380025147141,1170.2564945111671,1161.3241707994734,1038.5536292718357,1033.538393471476,1028.661196511794,1019.7367611351591,904.015196298696,899.0037760839224,894.130289341719,885.2126416192306,867.5334346312508
