% Model,RI.mph
% Version,COMSOL 5.3.1.180
% Date,"Feb 13 2018, 23:19"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp12","Temperature (degC), Tp13","Temperature (degC), Tp14","Temperature (degC), Tp21","Temperature (degC), Tp22","Temperature (degC), Tp23","Temperature (degC), Tp24","Temperature (degC), Tp31","Temperature (degC), Tp32","Temperature (degC), Tp33","Temperature (degC), Tp34","Temperature (degC), Tp4"
47,1.0674689513886018E8,1010.0969300373337,810.0591428827498,1211.321681939724,1057.4295115714722,1027.3579776638308,1027.2362270817353,1027.117825980351,1026.1892978160322,1013.2938287256346,1013.172076699686,1013.0536741941704,1012.125135021612,999.612174715336,999.4904212417451,999.3720173284004,998.443466893482,974.7959671233258
48,1.0701734235758907E8,1010.0825494014599,809.6644946992388,1211.603827122277,1061.578076770605,1027.3880701694952,1027.266011584899,1027.1473109529911,1026.2164337936497,1013.2881377584725,1013.1660774431015,1013.0473751280293,1012.1164847677134,999.5708055972476,999.4487435621362,999.3300395746322,998.3991360818853,974.6885158047161
49,1.073422661903425E8,1010.0639682794312,809.234419136193,1211.7237729264775,1065.2403404563875,1027.4209592714656,1027.2985307375152,1027.1794703326868,1026.245771743409,1013.2795004244973,1013.157069920387,1013.0380075995978,1012.1042939847347,999.5210507441421,999.3986182938296,999.2795540803739,998.3458256167374,974.5629348832243
50,1.077130262315841E8,1010.0470430222682,808.7796367909813,1211.7062577769598,1068.4047688479832,1027.4613685609297,1027.3385179523289,1027.2190470835444,1026.2821295355543,1013.2735638250937,1013.1507110509664,1013.0312380762269,1012.0943040128376,999.4694446055222,999.3465897010816,999.2271146546367,998.2901643444155,974.4273658863452
51,1.0812079370682494E8,1010.0369661261315,808.3109456436126,1211.5757064212157,1071.0313991267349,1027.5133490322492,1027.3900342565125,1027.2701119895141,1026.3296544688278,1013.2753031503147,1013.1519860576558,1013.0320615374775,1012.0915863468057,999.4218610490474,999.2985416845898,999.1786149551059,998.2381224385487,974.2893326730604
52,1.0855614246786223E8,1010.0379158938282,807.8386001535013,1211.3592159817977,1073.2047561484383,1027.579810217208,1027.4559999027265,1027.3355957291842,1026.391358984245,1013.2886631675236,1013.1648504247452,1013.0444438897117,1012.1001886253413,999.3832394693126,999.2594243517184,999.1390155071975,998.1947421311542,974.1555742197057
53,1.0901029686787795E8,1010.0522987103406,807.3703000697284,1211.0810463284174,1074.9753944507188,1027.6620261782,1027.5376989295896,1027.4167920429027,1026.4686129049933,1013.3158433324182,1013.191513578949,1013.0706042563153,1012.1224060157798,999.3566633204513,999.2323311224521,999.1114194225391,998.1632025458606,974.0307695839875
54,1.0947726320902932E8,1010.083839023143,806.9138230616248,1210.7565545366365,1077.2537830730957,1027.7629308926776,1027.638072126449,1027.5166483445178,1026.564415595797,1013.3604188781131,1013.2355575647513,1013.1141313057582,1012.1618791313625,999.3463298137093,999.2214660190922,999.100037347108,998.1477662494539,973.9202540320608
55,1.0994981356376895E8,1010.1341754709412,806.4754169463109,1211.8503693281277,1079.971372692266,1027.8832146226127,1027.7578179735547,1027.6358711064445,1026.6795362053117,1013.4238536130259,1013.298454405624,1013.1765050505536,1012.2201506382693,999.3544451869581,999.229043491492,999.1070917168053,998.150718329351,973.827578782233
56,1.1042185918125403E8,1010.2037577853254,806.0593279229798,1213.2926481685736,1082.3404029562967,1028.0225309460357,1027.896596972947,1027.7741275642147,1026.813694774401,1013.5064531192996,1013.3805166034541,1013.2580447219196,1012.2975925398329,999.3819359758558,999.255996990663,999.1335227077171,998.173051693222,973.7547865996677
57,1.1088817235505615E8,1010.2936250936913,805.6700220460579,1214.5109101643257,1084.3722171473291,1028.1812301542532,1028.0547653596918,1027.931779733131,1026.9672986482096,1013.609130198381,1013.4826629007531,1013.3596748399888,1012.3951746655097,999.4302537824145,999.3037840571855,999.1807936356041,998.2162749470837,973.7043032957696
