% Model,oc.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:57"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp211","Temperature (degC), Tp221","Temperature (degC), Tp231","Temperature (degC), Tp241","Temperature (degC), Tp31"
31,3.471284568598697E8,744.6336594364003,636.1255971983693,937.5831583757089,811.7612390130529,702.8338303921829,746.0079236423013,744.6209499308613,743.2721047360486,702.8271421720273,700.16815867521
32,3.517890945661504E8,744.9127155924988,635.1916623689493,940.8332761091093,813.2832756441024,702.5840799961467,746.304348050495,744.8998447645338,743.5339539624392,702.5779418695388,699.8871196509326
33,3.564497322724692E8,745.1917717485874,634.2577275395225,944.0833938425102,814.8053122751522,702.334329600077,746.6007724587173,745.1787395982257,743.7958031888194,702.3287415670126,699.606080626695
34,3.611103699787584E8,745.4708279047262,633.3237927100671,947.3861025846637,816.3273489062016,702.084579204029,746.8971968669812,745.4576344319308,744.0576524151707,702.0795412644895,699.3250416024047
35,3.652763160888644E8,745.758748082154,632.4612703278472,950.6268738582238,817.8629111751649,701.8850054421421,747.2011272296176,745.7454059726731,744.3297110441778,701.8805000530131,699.0967242384019
36,3.688795405984751E8,746.0567512615024,631.6799810348525,953.7811187436588,819.4138591282039,701.7425086067161,747.5135957657413,746.0432749455929,744.6133830731956,701.7385158124083,698.9283788191105
37,3.724827651081049E8,746.3547544408414,630.8986917418517,956.935363629094,820.9648070812428,701.6000117712963,747.8260643018436,746.3411439184827,744.8970551022223,701.596531571835,698.7600333997834
38,3.7608598961770815E8,746.6527576201757,630.1174024488464,960.0896085145292,822.5157550342818,701.4575149358838,748.1385328379309,746.6390128914101,745.180727131211,701.4545473312126,698.5916879804602
39,3.795463305121394E8,746.9441452157116,629.3542874103125,963.1885949996605,824.0428966810001,701.3242717923038,748.4438649480699,746.9302710907817,745.458299608312,701.3217930365252,698.4335070154436
40,3.825820893362506E8,747.2158744462375,628.645177602424,966.1233798303612,825.4992973206996,701.2185262146321,748.7279909982396,747.2018852189567,745.7177471215103,701.2164657461237,698.3055299687735
41,3.8542198070444584E8,747.4785349143069,627.9609813927781,968.9824154418765,826.9230638431326,701.1254657658316,749.002334306045,747.4644371786862,745.968833258189,701.12379103324,698.1914865407207
42,3.880660046167555E8,747.7321266199054,627.301698781393,971.7657018342069,828.314196248299,701.0450904459741,749.2668948714697,747.7179269699643,746.2115580182825,701.0437688978926,698.091376731327
43,3.905141610731296E8,747.9766495630483,626.667329768344,974.4732390073519,829.6726945361987,700.9774002549833,749.5216726944911,747.9623545927246,746.4459214018138,700.976399340042,698.005200540563
44,3.927664500736562E8,748.2121037436755,626.0578743534966,977.1050269613116,830.9985587068321,700.9223951928492,749.7666677751386,748.1977200470157,746.6719234087947,700.9216823597363,697.9329579684318
45,3.948228716182596E8,748.4384891618328,625.4733325369037,979.6610656960862,832.2917887601988,700.8800752596178,750.0018801134224,748.4240233328811,746.8895640392375,700.8796179569308,697.8746490149136
46,3.96683425706942E8,748.6558058175696,624.9137043186196,982.1413552116759,833.5523846962986,700.8504404552953,750.2273097092873,748.641264450279,747.0988432931019,700.8502061316603,697.8302736800541
47,3.983629293679838E8,748.8623520646767,624.3785387260328,984.536766305452,834.7738710677924,700.8316994549092,750.4412579066964,748.8477417311993,747.2980565561002,700.8316534186299,697.7980267336563
48,4.0021076924571234E8,749.0180029586671,623.8572017922514,986.6320316895748,835.8035563370532,700.7816126818452,750.6036702664483,749.0033297154945,747.447008894017,700.7816697708336,697.7353407125216
49,4.0194363784002095E8,749.1552946536834,623.3583162927513,988.6017053664344,836.765253644903,700.7344309840569,750.7470257719561,749.1405649754748,747.5782932135929,700.734546961283,697.676732338398
50,4.0356153515094674E8,749.2742271497226,622.8818822274822,990.4457873360308,837.6589629913416,700.6901543616641,750.8713244232443,749.2594475110604,747.6919095148548,700.6902849899284,697.6222016112706
51,4.050644611785683E8,749.3748004468,622.4278995965043,992.1642775983638,838.4846843763695,700.6487828145918,750.9765662202739,749.3599773222896,747.7878577978364,700.6488838568256,697.5717485311835
52,4.064524159228092E8,749.4570145448913,621.9963683997464,993.7571761534338,839.2424177999868,700.6103163428945,751.062751163089,749.4421544091683,747.8661380624501,700.6103435619178,697.5253730981213
53,4.077253993836939E8,749.5208694440282,621.5872886373071,995.2244830012406,839.9321632621928,700.5747549465136,751.129879251636,749.5059787716701,747.9267503087813,700.574664105244,697.4830753120422
54,4.0888341156122005E8,749.5663651441888,621.2006603090686,996.566198141784,840.5539207629878,700.5420986255501,751.1779504859434,749.5514504098876,747.9696945367949,700.5418454867826,697.4448551729677
55,4.099264524552968E8,749.5935016454098,620.8364834151218,997.7823215750644,841.1076903023724,700.5123473799066,751.2069648660091,749.5785693236784,747.9949707464461,700.5118877065496,697.4107126809322
56,4.1089709734720683E8,749.66930447832,620.4735564418756,998.9098863693938,841.564149804915,700.5018216861149,751.2856058897213,749.6543457513344,748.0679617938613,700.501373196402,697.3947775255227
57,4.117770001894712E8,749.7648917769966,620.1210153001704,999.9329346635765,841.9359344000028,700.5034889134554,751.3842772590298,749.7499044165081,748.1604936554002,700.5031564467052,697.3909611044204
58,4.1255429673731387E8,749.8615858654656,619.7847681117913,1000.8411466340584,842.2312151266138,700.5128011146473,751.4838392804294,749.8465719047653,748.2543464111703,700.5126165125113,697.3953259662785
59,4.1322898699067545E8,749.9593867436881,619.4648148768615,1001.6345222808403,842.4499919847477,700.5297582897073,751.5842919538808,749.9443482160352,748.3495200611287,700.5297533937824,697.4078721111147
