% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Jan 30 2017, 18:25
% Dimension:          2
% Nodes:              4862
% Expressions:        16
% Description:        power density, Dependent variable Tp4, Dependent variable Flux1, Dependent variable Flux2, Dependent variable Flux3, Dependent variable Flux4, Dependent variable Flux5, Dependent variable Flux6, Dependent variable Flux7, Dependent variable Flux8, Dependent variable Conc1, Dependent variable Conc2, Dependent variable Conc3, Dependent variable Conc4, Dependent variable Conc5, Dependent variable Conc6
% Length unit:        m
% r                       z                        Pdensity (W/m^3)         Tp4 (K)                  Flux1 (1/(m^2*s))        Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.45                      0.03                     0                        NaN                      2.700012704772403E-6     8.255470954337234E-5     0.0011641481203648863    8.735215588816262E-4     0.006054408092208165     0.04025734320033083      0.05825801018130577      0.016919024123130018     -9.839202813467278E-8    -2.0144013240400074E-7   -5.640902028448213E-8    -5.555958045152177E-8    -3.821890448822469E-9    -2.0991355307200142E-10
0.47000000000000003       0.03                     0                        NaN                      2.516617681272144E-6     7.658431196799646E-5     0.0010777047078066367    8.110935666902287E-4     0.005927310122234278     0.039542413132674786     0.05724437671857341      0.01662665350463023      -7.480457315347189E-8    -1.5314902442945002E-7   -4.288612364622294E-8    -4.2240319455286005E-8   -2.905671212226473E-9    -1.5959111763797727E-10
0.49                      0.03                     0                        NaN                      2.322203411103992E-6     7.022642784028505E-5     9.856924718066357E-4     7.454587667089746E-4     0.005798488121283514     0.03882806291677218      0.056231987027498445     0.016334847475354068     -6.707144402643491E-8    -1.3731682150834142E-7   -3.845265229636438E-8    -3.787360989536576E-8    -2.6052894342466534E-9   -1.430929455584358E-10
0.51                      0.03                     0                        NaN                      2.127789140935837E-6     6.386854371257353E-5     8.936802358066334E-4     6.798239667277198E-4     0.005669666120332749     0.038113712700869565     0.055219597336423454     0.01604304144607789      -5.933831489939782E-8    -1.2148461858723264E-7   -3.401918094650577E-8    -3.350690033544546E-8    -2.3049076562668292E-9   -1.265947734788941E-10
0.53                      0.03                     0                        NaN                      1.9333748707676826E-6    5.751065958486207E-5     8.016679998066317E-4     6.141891667464652E-4     0.005540844119381985     0.037399362484966975     0.05420720764534849      0.015751235416801727     -5.1605185772360753E-8   -1.0565241566612388E-7   -2.958570959664716E-8    -2.9140190775525164E-8   -2.004525878287006E-9    -1.1009660139935244E-10
0.55                      0.03                     0                        NaN                      1.7389606005995293E-6    5.115277545715063E-5     7.096557638066305E-4     5.485543667652109E-4     0.00541202211843122      0.036685012269064364     0.05319481795427353      0.015459429387525557     -4.3872056645323746E-8   -8.982021274501525E-8    -2.5152238246788587E-8   -2.4773481215604902E-8   -1.7041441003071848E-9   -9.359842931981091E-11
0.5700000000000001        0.03                     0                        NaN                      1.5719445002856816E-6    4.568730683691701E-5     6.297162838047181E-4     4.909740399222192E-4     0.005284870303038092     0.035957890830844344     0.052160077204139614     0.015160797028309764     -4.727278369020459E-8    -9.67825949539989E-8     -2.710190515063676E-8    -2.6693788901356736E-8   -1.8362402310434328E-9   -1.008536786581201E-10
0.59                      0.03                     0                        NaN                      1.4706235670156347E-6    4.238371751098367E-5     5.79950628122992E-4      4.53432812035557E-4      0.005155005250975004     0.03514633977536208      0.050995405649734926     0.014823463624204843     -2.9029658720354967E-8   -5.943304968027739E-8    -1.6642960193550873E-8   -1.639234081999184E-8    -1.1276134611641677E-9   -6.19330541506536E-11
0.61                      0.03                     0                        NaN                      1.383408983047238E-6     3.961774835362569E-5     5.394683061416136E-4     4.2242235144259073E-4    0.005017067596964877     0.03425773866832303      0.04971597648425914      0.014452432548672723     -7.1860858761218185E-9   -1.4712229413252476E-8   -4.119846613969121E-9    -4.057807567697029E-9    -2.7913270510875574E-10  -1.5331087767319705E-11
0.63                      0.03                     0                        NaN                      1.2686412493883047E-6    3.60123580273977E-5      4.887589020093035E-4     3.8502828814454993E-4    0.004875060906482381     0.033363942654418444     0.04843007622546937      0.014079821212538937     -1.3438947390231199E-8   -2.7513848357238923E-8   -7.704667444196098E-9    -7.588646081055821E-9    -5.220157125194223E-10   -2.8671196739332408E-11
