% Model,cr.mph,,,,,,,,,,,cr.mph
% Version,COMSOL 5.3.1.180,,,,,,,,,,,COMSOL 5.3.1.180
% Date,"Apr 27 2018, 12:09",,,,,,,,,,,"Apr 27 2018, 10:35"
% Table,Table 1 - ,,,,,,,,,,,Table 4 - Global Evaluation 1 (ht_flibe.temp1.Tave)
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp211","Temperature (degC), Tp221","Temperature (degC), Tp231","Temperature (degC), Tp241","Temperature (degC), Tp31",Weighted average temperature (degC)
74,3.14E+08,789.8919581,686.6190793,971.0840388,873.7176116,752.2086997,791.1307087,789.8804934,788.6646723,752.2091683,749.8305151,745.4397334
75,3.14E+08,789.9083496,686.6241937,971.177072,873.7311509,752.2221881,791.1471964,789.8968839,788.6809684,752.2226336,749.8437311,745.4703928
76,3.14E+08,789.924741,686.6293082,971.2701052,873.7446901,752.2356765,791.1636841,789.9132744,788.6972645,752.2360989,749.856947,745.5010586
77,3.14E+08,789.9411325,686.6344226,971.3631385,873.7582294,752.2491649,791.1801718,789.929665,788.7135606,752.2495642,749.8701629,745.5317308
78,3.14E+08,789.9575239,686.639537,971.4561717,873.7717686,752.2626533,791.1966595,789.9460555,788.7298567,752.2630294,749.8833789,745.5624093
79,3.14E+08,789.9739153,686.6446515,971.549205,873.7853079,752.2761417,791.2131472,789.962446,788.7461527,752.2764947,749.8965948,745.5930942
80,3.14E+08,789.9903068,686.6497659,971.6422382,873.7988471,752.2896301,791.2296349,789.9788366,788.7624488,752.28996,749.9098107,745.6237855
81,3.14E+08,790.0066982,686.6548803,971.7352715,873.8123864,752.3031185,791.2461226,789.9952271,788.7787449,752.3034253,749.9230267,745.6544831
82,3.14E+08,790.0230897,686.6599948,971.8283047,873.8259256,752.3166069,791.2626103,790.0116177,788.795041,752.3168906,749.9362426,745.6851871
83,3.14E+08,790.0394811,686.6651092,971.921338,873.8394649,752.3300953,791.279098,790.0280082,788.8113371,752.3303558,749.9494585,745.7158974
84,3.14E+08,790.0573738,686.6671559,971.964319,873.8066887,752.3437226,791.297131,790.0458996,788.8290908,752.3439805,749.9628062,745.712856
85,3.14E+08,790.0757491,686.6682163,971.9912087,873.7590225,752.3573946,791.3156608,790.0642735,788.8473131,752.3576564,749.9761963,745.6989653
86,3.14E+08,790.0941244,686.6692768,972.0180985,873.7113563,752.3710666,791.3341906,790.0826474,788.8655354,752.3713322,749.9895864,745.6850777
87,3.14E+08,790.1124998,686.6703372,972.0449882,873.6636902,752.3847386,791.3527204,790.1010213,788.8837577,752.3850081,750.0029765,745.6711933
88,3.14E+08,790.1308751,686.6713977,972.071878,873.616024,752.3984106,791.3712502,790.1193952,788.9019799,752.398684,750.0163666,745.657312
89,3.14E+08,790.1492504,686.6724581,972.0987677,873.5683578,752.4120826,791.38978,790.1377691,788.9202022,752.4123599,750.0297567,745.6434339
90,3.14E+08,790.1676258,686.6735185,972.1256574,873.5206917,752.4257546,791.4083098,790.156143,788.9384245,752.4260358,750.0431468,745.629559
91,3.14E+08,790.1860011,686.674579,972.1525472,873.4730255,752.4394266,791.4268395,790.1745169,788.9566468,752.4397116,750.0565369,745.6156872
92,3.14E+08,790.2043764,686.6756394,972.1794369,873.4253593,752.4530986,791.4453693,790.1928908,788.9748691,752.4533875,750.069927,745.6018185
93,3.14E+08,790.2227518,686.6766999,972.2063266,873.3776932,752.4667705,791.4638991,790.2112647,788.9930914,752.4670634,750.0833171,745.5879531
94,3.14E+08,790.2165548,686.6792081,972.1710472,873.3199776,752.4688044,791.4574325,790.2050702,788.9871616,752.4690704,750.0857674,745.5631893
95,3.14E+08,790.202458,686.6821817,972.1157809,873.2590311,752.4670967,791.4429299,790.1909772,788.973467,752.467326,750.0847007,745.5349222
96,3.14E+08,790.1883613,686.6851553,972.0605146,873.1980847,752.465389,791.4284272,790.1768842,788.9597725,752.4655817,750.0836339,745.5066565
97,3.14E+08,790.1742646,686.688129,972.0052484,873.1371383,752.4636813,791.4139245,790.1627912,788.946078,752.4638373,750.0825672,745.478392
98,3.14E+08,790.1601678,686.6911026,971.9499821,873.0761919,752.4619736,791.3994219,790.1486982,788.9323834,752.4620929,750.0815004,745.4501288
99,3.14E+08,790.1460711,686.6940762,971.8947159,873.0152455,752.4602659,791.3849192,790.1346052,788.9186889,752.4603485,750.0804337,745.4218668
100,3.15E+08,790.1319744,686.6970499,971.8394496,872.954299,752.4585582,791.3704165,790.1205122,788.9049943,752.4586041,750.0793669,745.3936061
