% Model,RI_cr.mph
% Version,COMSOL 5.3.1.201
% Date,"Feb 15 2018, 22:26"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp1","Temperature (degC), Tp21","Temperature (degC), Tp22","Temperature (degC), Tp23","Temperature (degC), Tp24","Temperature (degC), Tp3"
43,3.404840011288839E8,802.7702180508614,694.5176389116017,2150.8818009745164,870.8037308198169,761.5564033080103,804.1248608553834,802.757681709936,801.4281115873088,761.5618357574878,758.9743666700077
44,3.4021021691671765E8,803.0453431698896,694.7603230861453,2153.8333894228203,871.7993275295565,761.7765384331154,804.4017908850625,803.0327905263699,801.7014480981553,761.7819957891091,759.1911414834645
45,3.403682801226699E8,803.202093811515,694.9388627865274,2156.0597684620175,872.5418828968217,761.9335285895003,804.558544222234,803.1895410606911,801.8581961516069,761.9386766659023,759.3469548340858
46,3.406964905817882E8,803.3122050816745,695.0921296576006,2158.0004160512617,873.1847403440444,762.0656397202107,804.6679481177533,803.29965860441,801.9690085228114,762.0703468481939,759.4787494572375
47,3.41024701040956E8,803.4223163517964,695.2453965286381,2159.941063640506,873.8275977912668,762.19775085094,804.7773520132072,803.4097761481431,802.0798208940447,762.2020170305101,759.610544080365
48,3.4135291150009143E8,803.5324276219611,695.3986633997158,2161.88171122975,874.4704552384893,762.3298619816632,804.8867559087543,803.5198936918613,802.1906332652394,762.3336872128126,759.7423387035109
49,3.4168112195920944E8,803.6425388921172,695.5519302707675,2163.8223588189944,875.1133126857118,762.4619731123915,804.9961598042602,803.6300112355701,802.3014456365228,762.465357395156,759.874133326642
50,3.42009332418367E8,803.7526501622602,695.7051971418359,2165.763006408238,875.7561701329342,762.594084243149,805.1055636997593,803.7401287793181,802.4122580077229,762.597027577446,760.0059279497485
51,3.420406036835846E8,803.9007061879696,695.8456084347788,2167.623184884536,876.3283429243089,762.7242445127482,805.2542106324489,803.8881793826237,802.5597285488162,762.7271013081762,760.1346264065368
52,3.4195488133925915E8,804.0637123920413,695.9809546486299,2169.451658647643,876.8726660643262,762.8536361459363,805.4183192646109,804.0511755560786,802.7216423554638,762.8565460392548,760.2621049782762
53,3.4186915899496084E8,804.2267185961192,696.1163008625239,2171.28013241075,877.4169892043432,762.9830277791606,805.5824278966849,804.214171729553,802.8835561620514,762.9859907703739,760.3895835500103
54,3.4178343665067357E8,804.3897248001832,696.2516470764093,2173.108606173857,877.9613123443604,763.1124194123548,805.7465365288018,804.3771679030382,803.0454699686601,763.1154355014993,760.517062121777
55,3.41697714306369E8,804.5527310042465,696.3869932903199,2174.937079936964,878.5056354843772,763.2418110455391,805.9106451609422,804.5401640765193,803.2073837753115,763.2448802326065,760.6445406935237
56,3.4161199196208066E8,804.7157372083221,696.5223395042068,2176.7655537000705,879.0499586243942,763.371202678727,806.0747537930728,804.7031602499923,803.3692975819007,763.3743249637267,760.7720192652688
57,3.417716997917057E8,804.8166804462986,696.6360890718607,2178.1796860757495,879.4469694148451,763.4713461144453,806.1757282886962,804.8041031035958,803.4702099466107,763.474331464883,760.8715824714274
58,3.4202810675209445E8,804.8931709661202,696.7413295924378,2179.4305685488225,879.7859393543237,763.5599658029975,806.2518280266364,804.8805970396421,803.5470878321302,763.5627393463739,760.9601470642116
59,3.422845137124714E8,804.9696614859946,696.8465701130234,2180.681451021896,880.1249092938018,763.6485854915555,806.3279277645787,804.957090975695,803.6239657176453,763.6511472278786,761.0487116570044
60,3.425409206728559E8,805.0461520058151,696.9518106335532,2181.932333494969,880.4638792332802,763.7372051801061,806.4040275024887,805.0335849117292,803.7008436032066,763.7395551093488,761.1372762498023
