% Model,scaling_cr.mph,,,,,,,,,,,scaling_cr.mph
% Version,COMSOL 5.3.1.180,,,,,,,,,,,COMSOL 5.3.1.180
% Date,"Aug 7 2018, 11:36",,,,,,,,,,,"Aug 7 2018, 12:00"
% Table,Table 1 - ,,,,,,,,,,,Table 4 - Global Evaluation 1 (ht_flibe.ins1.Tave)
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp211","Temperature (degC), Tp221","Temperature (degC), Tp231","Temperature (degC), Tp241","Temperature (degC), Tp31",Weighted average temperature (K)
73,3.10E+08,788.2371422,687.239873,1000.175779,909.1586851,751.0026538,789.4611431,788.2258138,787.0244697,751.0030614,748.6525765,1014.795495
74,3.10E+08,788.2475806,687.2617556,1000.4688,909.2981385,751.0171091,789.4714505,788.2362533,787.0350379,751.0174873,748.6671723,1014.838447
75,3.10E+08,788.2580189,687.2836383,1000.761821,909.437592,751.0315643,789.4817578,788.2466929,787.0456061,751.0319133,748.6817681,1014.881421
76,3.10E+08,788.2684573,687.3055209,1001.054841,909.5770454,751.0460196,789.4920652,788.2571325,787.0561743,751.0463392,748.696364,1014.924416
77,3.10E+08,788.2788957,687.3274035,1001.347862,909.7164989,751.0604749,789.5023725,788.2675721,787.0667425,751.0607652,748.7109598,1014.967432
78,3.10E+08,788.2893341,687.3492861,1001.640883,909.8559523,751.0749301,789.5126799,788.2780117,787.0773107,751.0751911,748.7255556,1015.010453
79,3.10E+08,788.3077053,687.3643599,1001.887265,909.9415541,751.0909939,789.5311268,788.2963821,787.0956068,751.0912564,748.7414798,1015.024336
80,3.10E+08,788.3297277,687.3762998,1002.112181,910.0023692,751.107798,789.5533202,788.318403,787.1174599,751.1080763,748.7580153,1015.024817
81,3.10E+08,788.3517502,687.3882397,1002.337096,910.0631842,751.1246021,789.5755136,788.3404239,787.139313,751.1248961,748.7745508,1015.025315
82,3.10E+08,788.3737726,687.4001796,1002.562011,910.1239993,751.1414063,789.5977069,788.3624448,787.1611661,751.1417159,748.7910864,1015.025828
83,3.09E+08,788.3957951,687.4121195,1002.786926,910.1848143,751.1582104,789.6199003,788.3844657,787.1830192,751.1585358,748.8076219,1015.026356
84,3.09E+08,788.4178175,687.4240594,1003.011842,910.2456294,751.1750145,789.6420937,788.4064866,787.2048723,751.1753556,748.8241575,1015.0269
85,3.09E+08,788.43984,687.4359993,1003.236757,910.3064444,751.1918187,789.6642871,788.4285075,787.2267254,751.1921754,748.840693,1015.027459
86,3.09E+08,788.4618624,687.4479392,1003.461672,910.3672594,751.2086228,789.6864805,788.4505284,787.2485785,751.2089953,748.8572285,1015.028033
87,3.09E+08,788.4838849,687.4598791,1003.686587,910.4280745,751.2254269,789.7086738,788.4725493,787.2704316,751.2258151,748.8737641,1015.028623
88,3.09E+08,788.5059074,687.471819,1003.911502,910.4888895,751.2422311,789.7308672,788.4945702,787.2922847,751.2426349,748.8902996,1015.029229
89,3.09E+08,788.5087,687.4778055,1004.03004,910.4925732,751.249518,789.7335127,788.4973642,787.295223,751.2499037,748.8978004,1015.007441
90,3.09E+08,788.5026415,687.4810518,1004.099614,910.4699604,751.2524243,789.7271607,788.4913084,787.2894553,751.2527763,748.9011428,1014.975347
91,3.09E+08,788.496583,687.4842981,1004.169189,910.4473476,751.2553306,789.7208088,788.4852526,787.2836876,751.2556489,748.9044851,1014.94326
92,3.09E+08,788.4905245,687.4875444,1004.238763,910.4247349,751.2582369,789.7144568,788.4791968,787.2779199,751.2585214,748.9078274,1014.911182
93,3.09E+08,788.484466,687.4907907,1004.308338,910.4021221,751.2611432,789.7081049,788.473141,787.2721522,751.261394,748.9111697,1014.87911
94,3.09E+08,788.4784075,687.494037,1004.377912,910.3795094,751.2640496,789.7017529,788.4670852,787.2663845,751.2642666,748.914512,1014.847046
95,3.09E+08,788.4723491,687.4972833,1004.447486,910.3568966,751.2669559,789.6954009,788.4610294,787.2606168,751.2671392,748.9178544,1014.81499
96,3.09E+08,788.4662906,687.5005296,1004.517061,910.3342839,751.2698622,789.689049,788.4549736,787.2548491,751.2700118,748.9211967,1014.782942
97,3.09E+08,788.4602321,687.5037759,1004.586635,910.3116711,751.2727685,789.682697,788.4489178,787.2490814,751.2728844,748.924539,1014.7509
98,3.10E+08,788.4541736,687.5070222,1004.656209,910.2890584,751.2756748,789.676345,788.442862,787.2433137,751.275757,748.9278813,1014.718867
99,3.09E+08,788.4736861,687.5103891,1004.744809,910.2792863,751.2892442,789.6960521,788.4623728,787.2626335,751.2893473,748.9411562,1014.698274
100,3.09E+08,788.5049684,687.5138116,1004.842164,910.2754245,751.3077215,789.7277537,788.4936513,787.2935004,751.3078707,748.9590027,1014.682947
