% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Jul 20 2017, 21:42
% Dimension:          2
% Nodes:              4862
% Expressions:        14
% Description:        power density, Dependent variable Flux2, Dependent variable Flux3, Dependent variable Flux4, Dependent variable Flux5, Dependent variable Flux6, Dependent variable Flux7, Dependent variable Flux8, Dependent variable Conc1, Dependent variable Conc2, Dependent variable Conc3, Dependent variable Conc4, Dependent variable Conc5, Dependent variable Conc6
% Length unit:        m
% r                       z                        Pdensity (W/m^3)         Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.01                      0.03                     0                        3.1933101346423045E-4    0.0065983462948679       0.004144168100153235     0.011658348428831872     0.0459914412616245       0.06779086589798507      0.020088794729084633     -4.194511918479567E-6    -8.553787443523421E-6    -2.4150494055798984E-6   -2.3673398446837765E-6   -1.6195454089050482E-7   -8.95330300404339E-9
0.03                      0.03                     0                        3.243306647484586E-4     0.0066048708659411925    0.004148747366786705     0.011577591008295841     0.04616073443983897      0.06793470014579546      0.020114876474336855     2.5366830612736116E-6    5.173011018111339E-6     1.460531419872009E-6     1.4316784093052522E-6    9.794402097565513E-8     5.414609509841153E-9
0.05                      0.03                     0                        3.239085038773674E-4     0.006499562108431716     0.004098147253364635     0.011376310536166345     0.046500269716811024     0.06826826424268001      0.020182589683390664     3.0396148303896948E-6    6.1986340198968775E-6    1.7501022710829201E-6    1.7155286886008583E-6    1.1736275610352834E-7    6.488108942720636E-9
0.06999999999999999       0.03                     0                        3.12918261509608E-4      0.006216875037610278     0.003959324429167743     0.011006664304514049     0.04705750095756266      0.06882042828429707      0.020293533496606602     1.7718574173095087E-6    3.6133204330855322E-6    1.0201730607105788E-6    1.0000193363379871E-6    6.841329948971921E-8     3.782046466491143E-9
0.09                      0.03                     0                        2.9885106010175716E-4    0.005859357781457198     0.0037837457731134394    0.010505758867907127     0.047835804903859684     0.06950779551573365      0.02041691883496364      -1.6549753743042247E-6   -3.3749672767920035E-6   -9.528771828189117E-7    -9.34052923348551E-7     -6.390035966433756E-8    -3.5325448235381545E-9
0.11                      0.03                     0                        2.842108842243025E-4     0.005315909228473821     0.0035168724336994035    0.009667004853245264     0.049215598690648295     0.07069154889740956      0.020613037290175565     -1.4389897463030302E-6   -2.9345138940876656E-6   -8.285210737511453E-7    -8.121535488183652E-7    -5.556092267830262E-8    -3.071504177736865E-9
0.13                      0.03                     0                        2.7402705575270143E-4    0.00483664845225905      0.0032600853131366926    0.009098288888117471     0.050152531882344524     0.0717023321349075       0.02081346893230559      1.270360202337917E-6     2.5906286818522473E-6    7.314294463873045E-7     7.169798894622531E-7     4.9049962504604215E-8    2.7115751054647405E-9
0.15000000000000002       0.03                     0                        2.61774626654302E-4      0.004431559517702793     0.0030309375610950715    0.00879695288614276      0.05061518855785832      0.07238926415464786      0.02097861598840331      7.329189121176141E-7     1.4946331218936128E-6    4.219899673141556E-7     4.136535665542134E-7     2.8298774041711444E-8    1.5644000614922E-9
0.17                      0.03                     0                        2.497134368983747E-4     0.004044210808525783     0.002809350193850586     0.008534516954547726     0.05101907225890938      0.07302221119399709      0.02113674807945226      -8.056952422945403E-7    -1.6430438214175762E-6   -4.638916091009069E-7    -4.547273659937899E-7    -3.110874981095704E-8    -1.7197487340986865E-9
0.19                      0.03                     0                        2.3804886694741643E-4    0.003739013516896952     0.002623217780146823     0.00839159022459911      0.05111907969049196      0.07327652242146644      0.021210247130201598     -2.0809310391384694E-6   -4.2436174343352E-6      -1.1981297942396583E-6   -1.1744608773490348E-6   -8.034693877560027E-8    -4.441709673646972E-9
0.21000000000000002       0.03                     0                        2.2515506098406458E-4    0.0034809009350815056    0.002456791749760629     0.008283313925698824     0.05096757909761452      0.07315151757129054      0.021181537294815565     -7.886559446038172E-7    -1.6082962638390416E-6   -4.5408131578774917E-7   -4.4511096348334044E-7   -3.0450838392268284E-8   -1.6833738995874473E-9
0.23                      0.03                     0                        2.118939764351947E-4     0.0032229453617905234    0.0022902187173043614    0.00817121999002468      0.05079648064814391      0.07299156145392227      0.02114221717965941      7.408076741453799E-7     1.5107203802373336E-6    4.2653247721833395E-7    4.18106517205836E-7      2.8603354403009328E-8    1.5812360021543352E-9
0.25                      0.03                     0                        1.986328918863247E-4     0.00296498978849954      0.0021236456848480936    0.008059126054350534     0.05062538219867328      0.07283160533655399      0.02110289706450325      2.2702712928945775E-6    4.6297370243137075E-6    1.3071462702244168E-6    1.2813239978950119E-6    8.765754719828692E-8     4.8458459038961155E-9
0.27                      0.03                     0                        1.8482146622530123E-4    0.0027071288544016367    0.001956766239221354     0.007941501722148494     0.05044191838734562      0.07263978744701365      0.02105362162491178      1.1695896420294303E-6    2.3851303700877828E-6    6.734109021848636E-7     6.601079700797123E-7     4.5159071769600696E-8    2.4964608902412943E-9
0.29000000000000004       0.03                     0                        1.6974444926055627E-4    0.0024648438762413195    0.0017957344854976152    0.007811228930811645     0.050112613432010164     0.0722111590773058       0.02093476658074779      -3.6037775519789055E-6   -7.349137784404663E-6    -2.074933165930588E-6    -2.0339432145651535E-6   -1.3914563645400018E-7   -7.692208279208174E-9
0.31                      0.03                     0                        1.5494987345458864E-4    0.002248050042968729     0.0016478419910236324    0.007677066309021037     0.04961301907039019      0.07153955702357909      0.020745803301010862     -4.993106682295805E-6    -1.0182378347725691E-5   -2.8748620790190866E-6   -2.818069811031397E-6    -1.9278908257806383E-7   -1.0657711343344501E-8
0.33                      0.03                     0                        1.409351876247921E-4     0.002042299278863094     0.0015085356504027274    0.0075396911027271855    0.04907567426667602      0.07081457165906033      0.020540892905029105     -4.034702176380436E-6    -8.227917408028838E-6    -2.323045283994389E-6    -2.2771539849676343E-6   -1.557840844394106E-7    -8.612005858495448E-9
0.35000000000000003       0.03                     0                        1.2692050179499546E-4    0.0018365485147574577    0.001369229309781822     0.0074023158964333325    0.04853832946296181      0.07008958629454153      0.020335982509047335     -3.076297670465072E-6    -6.273456468331994E-6    -1.7712284889696936E-6   -1.7362381589038732E-6   -1.1877908630075753E-7   -6.566300373646403E-9
0.37                      0.03                     0                        1.1290581596519898E-4    0.0016307977506518228    0.001229922969160917     0.007264940690139485     0.04800098465924766      0.06936460093002278      0.020131072113065585     -2.117893164549703E-6    -4.3189955286351395E-6   -1.2194116939449958E-6   -1.1953223328401105E-6   -8.177408816210427E-8    -4.5205948887973485E-9
0.39                      0.03                     0                        9.88911301354023E-5      0.0014250469865461858    0.0010906166285400108    0.007127565483845631     0.04746363985553347      0.06863961556550396      0.019926161717083814     -1.1594886586343322E-6   -2.3645345889382826E-6   -6.675948989202969E-7    -6.544065067763463E-7    -4.476909002345097E-8    -2.474889403948291E-9
0.41000000000000003       0.03                     0                        8.487644430560582E-5     0.0012192962224405514    9.51310287919106E-4      0.0069901902775517805    0.0469262950518193       0.0679146302009852       0.019721251321102057     -2.010841527189698E-7    -4.1007364924144094E-7   -1.1577810389560277E-7   -1.1349068071258671E-7   -7.764091884797966E-9    -4.291839190992504E-10
0.43                      0.03                     0                        7.086175847580923E-5     0.001013545458334915     8.120039472982003E-4     0.006852815071257924     0.04638895024810509      0.06718964483646639      0.019516340925120286     7.573203531963939E-7     1.5443872904554016E-6    4.3603869112909205E-7    4.2742514535117306E-7    2.9240906253855106E-8    1.6165215657497929E-9
0.45                      0.03                     0                        5.203476527751468E-5     7.722089734032557E-4     6.602582323078879E-4     0.006658498737474722     0.04578189476737484      0.06631581415788204      0.01926128515829278      -3.243851771752797E-6    -6.6151502313742244E-6   -1.8677002035301824E-6   -1.830803731301035E-6    -1.252485542385508E-7    -6.9239323777791854E-9
0.47000000000000003       0.03                     0                        2.322853137039929E-5     4.663011920555088E-4     4.819492636825753E-4     0.0063454553354885925    0.044899484029542        0.06495402144657539      0.018853112876698722     -1.4408446702911233E-5   -2.9382960419380642E-5   -8.295894091544092E-6    -8.132009566959005E-6    -5.56325299547343E-7     -3.075463307653782E-8
0.49                      0.03                     0                        4.282364171655054E-5     6.589478805482621E-4     5.716469151909207E-4     0.006377725374650293     0.04419520383137103      0.06401852140170892      0.01859147683405642      -6.888162947368375E-6    -1.4046939885314994E-5   -3.965969879470434E-6    -3.887622658711192E-6    -2.6595921572880345E-7   -1.4702702433575477E-8
0.51                      0.03                     0                        6.960731188937586E-5     9.360301299412354E-4     7.089329234744245E-4     0.006434831931382885     0.04330687189840089      0.06283985478957677      0.01826187119693009      5.049540081329957E-6     1.0297461131184347E-5    2.9073532706383825E-6    2.849918783742E-6        1.949680608722599E-7     1.0778181967772477E-8
0.53                      0.03                     0                        6.435371417646766E-5     8.65100270006764E-4      6.580651082558988E-4     0.006273144666582048     0.04233986930174631      0.06144443668351153      0.017857675963115577     3.6668573776990896E-6    7.477775686798349E-6     2.1112516940643943E-6    2.069544013854736E-6     1.4158123388509493E-7    7.826856569527103E-9
0.55                      0.03                     0                        5.9100116463559506E-5    7.941704100722931E-4     6.071972930373733E-4     0.006111457401781208     0.041372866705091715     0.06004901857744627      0.017453480729301064     2.2841746740682297E-6    4.6580902424123775E-6    1.3151501174904125E-6    1.2891692439674783E-6    8.819440689793036E-8     4.8755311712817495E-9
0.5700000000000001        0.03                     0                        5.384651875065128E-5     7.232405501378215E-4     5.563294778188474E-4     0.005949770136980366     0.040405864108437106     0.05865360047138096      0.017049285495486545     9.014919704373638E-7     1.8384047980263926E-6    5.19048540916426E-7      5.087944740802163E-7     3.480757991076544E-8     1.924205773036381E-9
0.59                      0.03                     0                        4.859292103774309E-5     6.523106902033502E-4     5.054616626003216E-4     0.005788082872179524     0.039438861511782525     0.057258182365315664     0.01664509026167202      -4.811907331934944E-7    -9.812806463595787E-7    -2.7705303565755576E-7   -2.7158029580704183E-7   -1.8579247076399162E-8   -1.0271196252089727E-9
0.61                      0.03                     0                        4.333932332483491E-5     5.813808302688792E-4     4.5459384738179607E-4    0.005626395607378685     0.03847185891512793      0.05586276425925041      0.016240895027857506     -1.8638734368243543E-6   -3.8009660907455543E-6   -1.0731546122315382E-6   -1.051955065694301E-6    -7.19660740635638E-8     -3.97844502345433E-9
0.63                      0.03                     0                        3.80857256119267E-5      5.104509703344077E-4     4.0372603216327034E-4    0.005464708342577843     0.037504856318473334     0.05446734615318512      0.015836699794042987     -3.246556140455218E-6    -6.620651535131538E-6    -1.8692561888055234E-6   -1.8323298355815622E-6   -1.2535290105072863E-7   -6.929770421699694E-9
0.65                      0.03                     0                        3.283212789901849E-5     4.3952111039993606E-4    3.5285821694474423E-4    0.005303021077777003     0.03653785372181874      0.05307192804711984      0.015432504560228474     -4.6292388440860945E-6   -9.440336979517545E-6    -2.665357765379515E-6    -2.6127046054688294E-6   -1.7873972803789386E-7   -9.881095819945083E-9
0.67                      0.03                     0                        2.757853018611027E-5     3.685912504654644E-4     3.019904017262183E-4     0.005141333812976162     0.035570851125164143     0.05167650994105456      0.015028309326413955     -6.0119215477169654E-6   -1.2260022423903542E-5   -3.4614593419535046E-6   -3.3930793753560943E-6   -2.3212655502505894E-7   -1.2832421218190463E-8
0.01                      0.05                     0                        5.714764857809093E-4     0.011449185405931327     0.007137364395821008     0.019541700322462385     0.0767164460340621       0.11285659128198196      0.03342411412247808      -4.012292886066958E-6    -8.182192070609126E-6    -2.310134267643785E-6    -2.2644972951973812E-6   -1.549188731763773E-7    -8.5643494274143E-9
0.03                      0.05                     0                        5.65184795601824E-4      0.011312196449631974     0.007072414451913603     0.019388237455690502     0.07695833871116564      0.11316690143761034      0.03349988065597027      -5.354952700940398E-6    -1.0920253025314976E-5   -3.083189543766632E-6    -3.0222807034247966E-6   -2.0676039458268048E-7   -1.1430292127659165E-8
0.05                      0.05                     0                        5.581387761954227E-4     0.01109922016384363      0.0069689809461154165    0.019108169036149432     0.07740048422149692      0.11367571778863804      0.033616101960269124     -9.711717327711655E-7    -1.980490826713462E-6    -5.591656217006015E-7    -5.481192616784333E-7    -3.749796570072091E-8    -2.0729989728121162E-9
0.06999999999999999       0.05                     0                        5.459321477229377E-4     0.010690104683546676     0.006771601038343308     0.018494661335884427     0.07835496726659202      0.11457293467553778      0.033788220795095227     -6.083310444654401E-7    -1.240576567385127E-6    -3.5025914284444905E-7   -3.4333947394580133E-7   -2.3488336814262777E-8   -1.2983905853736293E-9
0.09                      0.05                     0                        5.27719612772739E-4      0.010135097298252446     0.006505256176448151     0.017622977970603044     0.07974302869625664      0.11574873074159757      0.03398914769498455      -6.130439409094723E-7    -1.2501729169562825E-6   -3.5296946940122616E-7   -3.4599641815364487E-7   -2.3670285104193223E-8   -1.3085359052180446E-9
0.11                      0.05                     0                        5.030520060670087E-4     0.00925961340618563      0.0060764028615505755    0.016326848062809124     0.0818701932978653       0.11762493482751449      0.03431018848189814      -7.18830651391474E-7     -1.4659022552324255E-6   -4.1387806773408367E-7   -4.0570186283543544E-7   -2.7754814792727362E-8   -1.5343352088844755E-9
0.13                      0.05                     0                        4.7729079590026974E-4    0.008316717173812462     0.0055875564196683075    0.015215254386568894     0.08369152379359537      0.11953273412181097      0.034682957623048266     -1.472314952863608E-6    -3.0024725521407807E-6   -8.477080014250162E-7    -8.309613127526002E-7    -5.684765261644121E-8    -3.1426451827177202E-9
0.15000000000000002       0.05                     0                        4.553242608054262E-4     0.0075995316662660455    0.005184520913176074     0.01467725687965265      0.08452696699618606      0.12078034236135163      0.03498137538142697      4.243354628765875E-6     8.653418429109383E-6     2.4431779797489305E-6    2.3949127314306293E-6    1.638404283457182E-7     9.057394663870891E-9
