% Model,scaling.mph
% Version,COMSOL 5.3.1.180
% Date,"Feb 15 2018, 08:45"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp1","Temperature (degC), Tp21","Temperature (degC), Tp22","Temperature (degC), Tp23","Temperature (degC), Tp24","Temperature (degC), Tp3"
82,2.938035535824674E8,644.3779169481642,621.9465387840144,911.2431561027428,760.7122120890543,642.0938466532587,649.8036716044139,648.6313402078288,647.4909498821157,642.0946589087218,636.1530344325411
83,2.9396044198650575E8,644.4205995687769,621.9683420406224,911.8607400239401,761.1290308898998,642.1340266643518,649.8521712139631,648.6785770371698,647.5369581454476,642.1348527475519,636.1870116041121
84,2.9411733039054215E8,644.4632821893937,621.9901452972593,912.4783239451377,761.5458496907453,642.1742066754522,649.9006708235213,648.725813866534,647.5829664087727,642.1750465863815,636.2209887756892
85,2.942742187945759E8,644.5059648099892,622.0119485538619,913.0959078663353,761.9626684915908,642.2143866865483,649.9491704330314,648.7730506959157,647.62897467209,642.2152404252114,636.2549659472594
86,2.944311071986118E8,644.5486474306123,622.0337518104895,913.7134917875327,762.3794872924365,642.2545666976389,649.9976700425738,648.8202875252354,647.6749829353881,642.2554342640321,636.2889431188149
87,2.9458799560265297E8,644.591330051212,622.0555550671068,914.3310757087303,762.7963060932817,642.2947467087157,650.0461696521124,648.8675243545994,647.7209911987517,642.2956281028745,636.3229202903481
88,2.947967615812937E8,644.6209092484868,622.0746270597685,914.8714481812391,763.1383535467381,642.3237280150843,650.0774889272999,648.8984829136418,647.7515990228992,642.3245769731462,636.3495796387871
89,2.95023165358907E8,644.6460334273709,622.092770453073,915.3855696191018,763.454979572878,642.3489018862983,650.1029670796844,648.9239070416368,647.7769708688652,642.3497026790687,636.3737510086537
90,2.952495691365071E8,644.6711576062585,622.1109138463377,915.8996910569648,763.7716055990176,642.3740757574886,650.1284452320765,648.9493311696555,647.8023427148689,642.374828384992,636.3979223784892
91,2.9547597291410506E8,644.6962817851504,622.129057239599,916.4138124948273,764.0882316251572,642.3992496287044,650.1539233844662,648.9747552976238,647.8277145608415,642.399954090912,636.4220937483284
92,2.957023766916964E8,644.7214059640529,622.1472006328695,916.92793393269,764.4048576512972,642.4244234999197,650.1794015369017,649.0001794256405,647.8530864068489,642.4250797968366,636.4462651181882
93,2.9592878046930325E8,644.7465301429152,622.1653440261529,917.4420553705528,764.7214836774368,642.4495973711181,650.2048796892752,649.0256035536208,647.8784582527924,642.450205502771,636.4704364880043
94,2.961551842469077E8,644.7716543218316,622.1834874194288,917.9561768084155,765.0381097035764,642.4747712423006,650.2303578416747,649.0510276816241,647.9038300987618,642.4753312087265,636.4946078578826
95,2.963815880244887E8,644.7967785007288,622.2016308127322,918.4702982462783,765.3547357297163,642.4999451135152,650.255835994061,649.0764518096163,647.9292019447594,642.5004569146416,636.5187792277426
96,2.966079918020957E8,644.8219026795933,622.2197742059616,918.984419684141,765.6713617558559,642.5251189847303,650.2813141464625,649.101875937617,647.9545737907243,642.5255826205591,636.5429505975973
97,2.968343955796984E8,644.8470268585176,622.2379175992494,919.4985411220038,765.9879877819957,642.550292855916,650.3067922988582,649.1273000656058,647.9799456367059,642.5507083265003,636.5671219674226
98,2.969546041712639E8,644.8812098106534,622.2531326494504,919.9849817016592,766.2074848484775,642.5822604353153,650.346053248816,649.1654551457361,648.0170247985009,642.5826954459494,636.5937697895811
99,2.9703870757952607E8,644.9184726450311,622.2673520955356,920.4620110970903,766.3939591478903,642.6165378000222,650.390000196746,649.2079386080906,648.0580843175893,642.6170153697361,636.6212595780657
100,2.97122810987763E8,644.9557354794517,622.2815715415724,920.9390404925217,766.5804334473029,642.6508151647141,650.4339471447103,649.2504220704689,648.0991438366432,642.6513352935117,636.6487493665179
