% Model:              postProcessing.mph
% Version:            COMSOL 5.3.0.260
% Date:               Sep 2 2017, 13:17
% Dimension:          2
% Nodes:              4862
% Expressions:        1
% Description:        power density
% Length unit:        m
% r                       z                        Pdensity (W/m^3) @ t=0
0.15000000000000002       0.25                     0
0.17                      0.25                     0
0.19                      0.25                     0
0.21000000000000002       0.25                     0
0.23                      0.25                     0
0.25                      0.25                     0
0.27                      0.25                     0
0.29000000000000004       0.25                     0
0.31                      0.25                     0
0.33                      0.25                     0
0.35000000000000003       0.25                     0
0.37                      0.25                     0
0.39                      0.25                     0
0.41000000000000003       0.25                     0
0.43                      0.25                     0
0.45                      0.25                     0
0.47000000000000003       0.25                     0
0.49                      0.25                     0
0.51                      0.25                     0
0.53                      0.25                     0
0.55                      0.25                     0
0.5700000000000001        0.25                     0
0.59                      0.25                     0
0.61                      0.25                     0
0.63                      0.25                     0
0.65                      0.25                     0
0.67                      0.25                     0
0.01                      0.27                     0
0.03                      0.27                     0
0.05                      0.27                     0
0.06999999999999999       0.27                     0
0.09                      0.27                     0
0.11                      0.27                     0
0.13                      0.27                     0
0.15000000000000002       0.27                     0
0.17                      0.27                     0
0.19                      0.27                     0
0.21000000000000002       0.27                     0
0.23                      0.27                     0
0.25                      0.27                     0
0.27                      0.27                     0
0.29000000000000004       0.27                     0
0.31                      0.27                     0
0.33                      0.27                     0
0.35000000000000003       0.27                     0
0.37                      0.27                     0
0.39                      0.27                     0
0.41000000000000003       0.27                     0
0.43                      0.27                     0
0.45                      0.27                     0
0.47000000000000003       0.27                     0
0.49                      0.27                     0
0.51                      0.27                     0
0.53                      0.27                     0
0.55                      0.27                     0
0.5700000000000001        0.27                     0
0.59                      0.27                     0
0.61                      0.27                     0
0.63                      0.27                     0
0.65                      0.27                     0
0.67                      0.27                     0
0.01                      0.29000000000000004      0
0.03                      0.29000000000000004      0
0.05                      0.29000000000000004      0
0.06999999999999999       0.29000000000000004      0
0.09                      0.29000000000000004      0
0.11                      0.29000000000000004      0
0.13                      0.29000000000000004      0
0.15000000000000002       0.29000000000000004      0
0.17                      0.29000000000000004      0
0.19                      0.29000000000000004      0
0.21000000000000002       0.29000000000000004      0
0.23                      0.29000000000000004      0
0.25                      0.29000000000000004      0
0.27                      0.29000000000000004      0
0.29000000000000004       0.29000000000000004      0
0.31                      0.29000000000000004      0
0.33                      0.29000000000000004      0
0.35000000000000003       0.29000000000000004      0
0.37                      0.29000000000000004      0
0.39                      0.29000000000000004      0
0.41000000000000003       0.29000000000000004      0
0.43                      0.29000000000000004      0
0.45                      0.29000000000000004      0
0.47000000000000003       0.29000000000000004      0
0.49                      0.29000000000000004      0
0.51                      0.29000000000000004      0
0.53                      0.29000000000000004      0
0.55                      0.29000000000000004      0
0.5700000000000001        0.29000000000000004      0
0.59                      0.29000000000000004      0
0.61                      0.29000000000000004      0
0.63                      0.29000000000000004      0
0.65                      0.29000000000000004      0
0.67                      0.29000000000000004      0
0.01                      0.31                     0
0.03                      0.31                     0
0.05                      0.31                     0
0.06999999999999999       0.31                     0
0.09                      0.31                     0
0.11                      0.31                     0
0.13                      0.31                     0
0.15000000000000002       0.31                     0
0.17                      0.31                     0
0.19                      0.31                     0
0.21000000000000002       0.31                     0
0.23                      0.31                     0
0.25                      0.31                     0
0.27                      0.31                     0
0.29000000000000004       0.31                     0
0.31                      0.31                     0
0.33                      0.31                     0
0.35000000000000003       0.31                     0
0.37                      0.31                     0
0.39                      0.31                     0
0.41000000000000003       0.31                     0
0.43                      0.31                     0
0.45                      0.31                     0
0.47000000000000003       0.31                     0
0.49                      0.31                     0
0.51                      0.31                     0
0.53                      0.31                     0
0.55                      0.31                     0
0.5700000000000001        0.31                     0
0.59                      0.31                     0
0.61                      0.31                     0
0.63                      0.31                     0
0.65                      0.31                     0
0.67                      0.31                     0
0.01                      0.33                     0
0.03                      0.33                     0
0.05                      0.33                     0
0.06999999999999999       0.33                     0
0.09                      0.33                     0
0.11                      0.33                     0
0.13                      0.33                     0
0.15000000000000002       0.33                     0
0.17                      0.33                     0
0.19                      0.33                     0
0.21000000000000002       0.33                     0
0.23                      0.33                     0
0.25                      0.33                     0
0.27                      0.33                     0
0.29000000000000004       0.33                     0
0.31                      0.33                     0
0.33                      0.33                     0
0.35000000000000003       0.33                     0
0.37                      0.33                     0
0.39                      0.33                     0
0.41000000000000003       0.33                     0
0.43                      0.33                     0
0.45                      0.33                     0
0.47000000000000003       0.33                     0
0.49                      0.33                     0
0.51                      0.33                     0
0.53                      0.33                     0
0.55                      0.33                     0
0.5700000000000001        0.33                     0
0.59                      0.33                     0
0.61                      0.33                     0
0.63                      0.33                     0
0.65                      0.33                     0
0.67                      0.33                     0
0.01                      0.35000000000000003      0
0.03                      0.35000000000000003      0
0.05                      0.35000000000000003      0
0.06999999999999999       0.35000000000000003      0
0.09                      0.35000000000000003      0
0.11                      0.35000000000000003      0
0.13                      0.35000000000000003      0
0.15000000000000002       0.35000000000000003      0
0.17                      0.35000000000000003      0
0.19                      0.35000000000000003      0
0.21000000000000002       0.35000000000000003      0
0.23                      0.35000000000000003      0
0.25                      0.35000000000000003      0
0.27                      0.35000000000000003      0
0.29000000000000004       0.35000000000000003      0
0.31                      0.35000000000000003      0
0.33                      0.35000000000000003      0
0.35000000000000003       0.35000000000000003      0
0.37                      0.35000000000000003      0
0.39                      0.35000000000000003      0
0.41000000000000003       0.35000000000000003      0
0.43                      0.35000000000000003      0
0.45                      0.35000000000000003      0
0.47000000000000003       0.35000000000000003      0
0.49                      0.35000000000000003      0
0.51                      0.35000000000000003      0
0.53                      0.35000000000000003      0
0.55                      0.35000000000000003      0
0.5700000000000001        0.35000000000000003      0
0.59                      0.35000000000000003      0
0.61                      0.35000000000000003      0
0.63                      0.35000000000000003      0
0.65                      0.35000000000000003      0
0.67                      0.35000000000000003      0
0.01                      0.37                     0
0.03                      0.37                     0
0.05                      0.37                     0
0.06999999999999999       0.37                     0
0.09                      0.37                     0
0.11                      0.37                     0
0.13                      0.37                     0
0.15000000000000002       0.37                     0
0.17                      0.37                     0
0.19                      0.37                     0
0.21000000000000002       0.37                     0
0.23                      0.37                     0
0.25                      0.37                     0
0.27                      0.37                     0
0.29000000000000004       0.37                     0
0.31                      0.37                     0
0.33                      0.37                     0
0.35000000000000003       0.37                     0
0.37                      0.37                     0
0.39                      0.37                     0
0.41000000000000003       0.37                     0
0.43                      0.37                     0
0.45                      0.37                     0
0.47000000000000003       0.37                     0
0.49                      0.37                     0
0.51                      0.37                     0
0.53                      0.37                     0
0.55                      0.37                     0
0.5700000000000001        0.37                     0
0.59                      0.37                     0
0.61                      0.37                     0
0.63                      0.37                     0
0.65                      0.37                     0
0.67                      0.37                     0
0.01                      0.39                     0
0.03                      0.39                     0
0.05                      0.39                     0
0.06999999999999999       0.39                     0
0.09                      0.39                     0
0.11                      0.39                     0
0.13                      0.39                     0
0.15000000000000002       0.39                     0
0.17                      0.39                     0
0.19                      0.39                     0
0.21000000000000002       0.39                     0
0.23                      0.39                     0
0.25                      0.39                     0
0.27                      0.39                     0
0.29000000000000004       0.39                     0
0.31                      0.39                     0
0.33                      0.39                     0
0.35000000000000003       0.39                     0
0.37                      0.39                     0
0.39                      0.39                     0
0.41000000000000003       0.39                     0
0.43                      0.39                     0
0.45                      0.39                     0
0.47000000000000003       0.39                     0
0.49                      0.39                     0
0.51                      0.39                     0
0.53                      0.39                     0
0.55                      0.39                     0
0.5700000000000001        0.39                     0
0.59                      0.39                     0
0.61                      0.39                     0
0.63                      0.39                     0
0.65                      0.39                     0
0.67                      0.39                     0
0.01                      0.41000000000000003      0
0.03                      0.41000000000000003      0
0.05                      0.41000000000000003      0
0.06999999999999999       0.41000000000000003      0
0.09                      0.41000000000000003      0
0.11                      0.41000000000000003      0
0.13                      0.41000000000000003      0
0.15000000000000002       0.41000000000000003      0
0.17                      0.41000000000000003      0
0.19                      0.41000000000000003      0
0.21000000000000002       0.41000000000000003      0
0.23                      0.41000000000000003      0
0.25                      0.41000000000000003      0
0.27                      0.41000000000000003      0
0.29000000000000004       0.41000000000000003      0
0.31                      0.41000000000000003      0
0.33                      0.41000000000000003      0
0.35000000000000003       0.41000000000000003      0
0.37                      0.41000000000000003      0
0.39                      0.41000000000000003      0
0.41000000000000003       0.41000000000000003      0
0.43                      0.41000000000000003      0
0.45                      0.41000000000000003      0
0.47000000000000003       0.41000000000000003      0
0.49                      0.41000000000000003      0
0.51                      0.41000000000000003      0
0.53                      0.41000000000000003      0
0.55                      0.41000000000000003      0
0.5700000000000001        0.41000000000000003      0
0.59                      0.41000000000000003      0
0.61                      0.41000000000000003      0
0.63                      0.41000000000000003      0
0.65                      0.41000000000000003      0
0.67                      0.41000000000000003      0
0.01                      0.43                     0
0.03                      0.43                     0
0.05                      0.43                     0
0.06999999999999999       0.43                     0
0.09                      0.43                     0
0.11                      0.43                     0
0.13                      0.43                     0
0.15000000000000002       0.43                     0
0.17                      0.43                     0
0.19                      0.43                     0
0.21000000000000002       0.43                     0
0.23                      0.43                     0
0.25                      0.43                     0
0.27                      0.43                     0
0.29000000000000004       0.43                     0
0.31                      0.43                     0
0.33                      0.43                     0
0.35000000000000003       0.43                     0
0.37                      0.43                     0
0.39                      0.43                     0
0.41000000000000003       0.43                     0
0.43                      0.43                     0
0.45                      0.43                     0
0.47000000000000003       0.43                     0
0.49                      0.43                     0
0.51                      0.43                     0
0.53                      0.43                     0
0.55                      0.43                     0
0.5700000000000001        0.43                     0
0.59                      0.43                     0
0.61                      0.43                     0
0.63                      0.43                     0
0.65                      0.43                     0
0.67                      0.43                     0
0.01                      0.45                     0
0.03                      0.45                     0
0.05                      0.45                     0
0.06999999999999999       0.45                     0
0.09                      0.45                     0
0.11                      0.45                     0
0.13                      0.45                     0
0.15000000000000002       0.45                     0
0.17                      0.45                     0
0.19                      0.45                     0
0.21000000000000002       0.45                     0
0.23                      0.45                     0
0.25                      0.45                     0
0.27                      0.45                     0
0.29000000000000004       0.45                     0
0.31                      0.45                     0
0.33                      0.45                     0
0.35000000000000003       0.45                     0
0.37                      0.45                     0
0.39                      0.45                     0
0.41000000000000003       0.45                     0
0.43                      0.45                     0
0.45                      0.45                     0
0.47000000000000003       0.45                     0
0.49                      0.45                     0
0.51                      0.45                     0
0.53                      0.45                     0
0.55                      0.45                     0
0.5700000000000001        0.45                     0
0.59                      0.45                     0
0.61                      0.45                     0
0.63                      0.45                     0
0.65                      0.45                     0
0.67                      0.45                     0
0.01                      0.47000000000000003      0
0.03                      0.47000000000000003      0
0.05                      0.47000000000000003      0
0.06999999999999999       0.47000000000000003      0
0.09                      0.47000000000000003      0
0.11                      0.47000000000000003      0
0.13                      0.47000000000000003      0
0.15000000000000002       0.47000000000000003      0
0.17                      0.47000000000000003      0
0.19                      0.47000000000000003      0
0.21000000000000002       0.47000000000000003      0
0.23                      0.47000000000000003      0
0.25                      0.47000000000000003      0
0.27                      0.47000000000000003      0
0.29000000000000004       0.47000000000000003      0
0.31                      0.47000000000000003      0
0.33                      0.47000000000000003      0
0.35000000000000003       0.47000000000000003      0
0.37                      0.47000000000000003      0
0.39                      0.47000000000000003      0
0.41000000000000003       0.47000000000000003      0
0.43                      0.47000000000000003      0
0.45                      0.47000000000000003      0
0.47000000000000003       0.47000000000000003      0
0.49                      0.47000000000000003      0
0.51                      0.47000000000000003      0
0.53                      0.47000000000000003      0
0.55                      0.47000000000000003      0
0.5700000000000001        0.47000000000000003      0
0.59                      0.47000000000000003      0
0.61                      0.47000000000000003      0
0.63                      0.47000000000000003      0
0.65                      0.47000000000000003      0
0.67                      0.47000000000000003      0
0.01                      0.49                     0
0.03                      0.49                     0
0.05                      0.49                     0
0.06999999999999999       0.49                     0
0.09                      0.49                     0
0.11                      0.49                     0
0.13                      0.49                     0
0.15000000000000002       0.49                     0
