% r                       z                        Pdensity (W/m^3)         Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Flux21 (1/(m^2*s))       Flux22 (1/(m^2*s))       Flux23 (1/(m^2*s))       Flux24 (1/(m^2*s))       Flux25 (1/(m^2*s))       Flux26 (1/(m^2*s))       Flux27 (1/(m^2*s))       Flux28 (1/(m^2*s))       Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.61                      0.01                     0                        2.6920103204736054E-5    2.3576573840197287E-4    1.7885038790007557E-4    0.0020794276846688668    0.014193294542446805     0.02059646271514434      0.0059873334015993806    3.6550841461251E-7       4.037007967395161E-7     2.3980342338839976E-6    1.6194534431695725E-6    8.552694687687667E-7     6.187392584691209E-7     3.943605026297282E-7     5.7285163998641E-8       -1.0723486088214424E-8   -2.1954425560632916E-8   -6.147869453839278E-9    -6.0552912602171485E-9   -4.16537699604393E-10    -2.2877921197174992E-11
0.63                      0.01                     0                        2.4496624907448508E-5    2.132778103208359E-4     1.6274316546194416E-4    0.002020255377670252     0.013822835296756493     0.020063501681639177     0.005832897216203374     3.282010366283362E-7     3.575229156738703E-7     2.1799389778639515E-6    1.4736923562769183E-6    8.412095562760795E-7     6.355952067440243E-7     5.46113956612728E-7      1.0673272528024415E-7    -1.3328191303332047E-8   -2.728709501926548E-8    -7.641169999626988E-9    -7.52610481793493E-9     -5.177135587911808E-10   -2.8434905200616185E-11
0.65                      0.01                     0                        2.2073146610160942E-5    1.9078988223969882E-4    1.466359430238127E-4     0.0019610830706716384    0.013452376051066178     0.019530540648134007     0.005678461030807367     2.908936586441621E-7     3.113450346082241E-7     1.9618437218439037E-6    1.3279312693842633E-6    8.271496437833922E-7     6.524511550189276E-7     6.978674105957291E-7     1.5618028656184772E-7    -1.5932896518449694E-8   -3.261976447789808E-8    -9.134470545414707E-9    -8.996918375652723E-9    -6.188894179779694E-10   -3.399188920405742E-11
0.67                      0.01                     0                        1.9649668312873383E-5    1.6830195415856185E-4    1.3052872058568125E-4    0.0019019107636730245    0.013081916805375859     0.018997579614628838     0.005524024845411359     2.5358628065998805E-7    2.651671535425781E-7     1.7437484658238559E-6    1.1821701824916083E-6    8.13089731290705E-7      6.693071032938308E-7     8.496208645787293E-7     2.0562784784345095E-7    -1.8537601733567324E-8   -3.795243393653066E-8    -1.0627771091202419E-8   -1.0467731933370506E-8   -7.200652771647575E-10   -3.954887320749862E-11
0.01                      0.03                     0                        1.3007545883002172E-4    0.007118359778608755     0.004544702662745283     0.012803047028050038     0.05037664375389554      0.07419140657382049      0.021980464705409902     1.684819034142173E-4     1.583446794654869E-4     9.967070542411846E-5     1.251595999684202E-5     -6.908105349310463E-6    6.163761994010769E-5     2.8440779594471758E-5    -4.556642696175772E-6    -4.088594429338084E-8    -8.370668018600268E-8    -2.3440273614837563E-8   -2.3087296342700652E-8   -1.588153054148642E-9    -8.722773582408821E-11
0.03                      0.03                     0                        1.3376734318197928E-4    0.007096677122320932     0.004534386715228872     0.012698164155095042     0.050585257510605136     0.07440610926703022      0.02202654628295927      1.6851619049007013E-4    1.5838147302464167E-4    9.968839406220864E-5     1.2516383005364766E-5    -6.900380316745928E-6    6.163062269241174E-5     2.8425538054760224E-5    -4.562092083996053E-6    2.9113237098106708E-8    5.960416150508274E-8     1.669087641700232E-8     1.643953549308415E-8     1.130859937628909E-9     6.211136365973139E-11
0.05                      0.03                     0                        1.2941493882867006E-4    0.0069560839118941314    0.004466082251369328     0.012497796711292152     0.05091339836327661      0.07476566257191768      0.022106903957587572     1.6852801923708516E-4    1.5840758847248009E-4    9.970868796511515E-5     1.2522077832066861E-5    -6.8934073588635905E-6   6.163316895145882E-5     2.8416073319437612E-5    -4.5669039022790535E-6   -3.396597690538397E-8    -6.953928092311226E-8    -1.9472995084678738E-8   -1.9179759399879625E-8   -1.3193573217327113E-9   -7.246439605871026E-11
0.06999999999999999       0.03                     0                        1.2066205084535987E-4    0.006661718162864394     0.004321374197685483     0.012084669213297651     0.05157344322990921      0.07541543424403244      0.022239672045101872     1.685054026333914E-4     1.5841645786046822E-4    9.972568658533108E-5     1.25318860425584E-5      -6.874468440748967E-6    6.16182555232328E-5      2.8401338525745645E-5    -4.570889083657574E-6    4.21865825333142E-8      8.636950505331077E-8     2.4185941025603334E-8    2.3821735059940983E-8    1.638674391708335E-9     9.000257032421693E-11
0.09                      0.03                     0                        1.0906494086940245E-4    0.006279842246471021     0.004131414010194221     0.011565657185558081     0.05238306758483015      0.07617146935827807      0.02238593201330602      1.6841579579279344E-4    1.583710082112376E-4     9.971462388304741E-5     1.2541381469744211E-5    -6.848908069692996E-6    6.158092388224606E-5     2.8383388273518496E-5    -4.571200216316611E-6    -7.691887064956835E-8    -1.574776715325687E-7    -4.4098269107656986E-8   -4.343421172542031E-8    -2.9877979206549246E-9   -1.6410184587552687E-10
0.11                      0.03                     0                        2.515037267477347E-4     0.0057442980371555175    0.003826610481666203     0.010578999937746364     0.054049177589340025     0.077591417132729        0.022619084472404568     1.172518217612696E-4     8.46751361424418E-5      7.992033880561631E-5     2.1992289488860887E-5    3.6928832976745966E-5    -1.99458614670902E-5     -1.3984599823499955E-5   -3.8129611813533816E-6   -1.1389662623777518E-7   -2.33183032250367E-7     -6.529794355887129E-8    -6.431464914975778E-8    -4.4241432585924914E-9   -2.4299169302375556E-10
